handle,recipient,expiration,image_uris,image_hash,metadata_uris,metadata_hash,license_uris,license_hash
test1,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1784106000,['https://testnet-nfts.xchandles.com/v1/test1.png'],8c4227bc5368cff7422e198af6344b84ecff85e2f5594e346e4cd626ffb02e67,['https://testnet-nfts.xchandles.com/v1/test1.json'],48c278cc239885cd1b88b2b3e82ab7215d3e3ed90545646dc555b2dc172b90cc,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test2,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1784192400,['https://testnet-nfts.xchandles.com/v1/test2.png'],a47d6c16698d9d9db97d4e36fa4e80d7312bd6d041974b092a5f356eb9cb6777,['https://testnet-nfts.xchandles.com/v1/test2.json'],9b04bc2234cda18118d691d7583aab29cf4a6e65561f32a54fc177a395fa9b3c,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test3,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1784278800,['https://testnet-nfts.xchandles.com/v1/test3.png'],b87a405f68a59c39a5e3d5699469ab2f768eb1aa169fc13ba407c221409ec8ac,['https://testnet-nfts.xchandles.com/v1/test3.json'],caede2a62a627a62a9960c4a769c73b23589f761be0b1df0cffb82e652fd773a,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test4,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1784365200,['https://testnet-nfts.xchandles.com/v1/test4.png'],0e3faaec40912ba1b52b1d5a08d3ca6a0619285bc27bc5eff04fcfa5583caa75,['https://testnet-nfts.xchandles.com/v1/test4.json'],cc9f1f8ea7ab2c98450ba6c7b1b8c5c02acefd4e92c794440e7c1092f03d763c,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test5,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1784451600,['https://testnet-nfts.xchandles.com/v1/test5.png'],abc9de2bfac6b17902172361c13717616dd29e1a9a771c233c1c0145e5e911f6,['https://testnet-nfts.xchandles.com/v1/test5.json'],1c996b86b8e13fbc4d34454f5168c557cbdb5464288128fcd415d16a58996bd4,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test6,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1784538000,['https://testnet-nfts.xchandles.com/v1/test6.png'],7951abeddd5d89cc517497bcd35b427cfd87922020614da6548b4287a4d7574e,['https://testnet-nfts.xchandles.com/v1/test6.json'],1a1b5f0be416411121966f9ee10da24f86aa4692de18e4b7832ea8a82f8a2377,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test7,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1784624400,['https://testnet-nfts.xchandles.com/v1/test7.png'],c73a58bc12772b0ee332ae62fe86191303b2fcf3fe631440b219cf9a490fb0a6,['https://testnet-nfts.xchandles.com/v1/test7.json'],cd480f11d9f6ee7680fadca598351483833db0da68d9a831ec4497c35ab4ac3b,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test8,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1784710800,['https://testnet-nfts.xchandles.com/v1/test8.png'],dae6a766f66248185993afbf3bedd5834f49e1683d57681b4ca9ea55d6960a8d,['https://testnet-nfts.xchandles.com/v1/test8.json'],3b4d31d072d435f6fbc0dfe934a4f717da19dadced836d0540bcf5c66fe1a1b3,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test9,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1784797200,['https://testnet-nfts.xchandles.com/v1/test9.png'],47031e47e2b38cafb230dcd9c8644fc37f4892a96361644ed4063d0bf950c649,['https://testnet-nfts.xchandles.com/v1/test9.json'],d2bef2ce9eb211e544931d377041dbdc0e9013a765048683f6225feb9fd118c0,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
test10,txch1snrh897fv9rt7ckqmcak4kva3rxzefhxz9u027qs8ja45quuqfuqf7j8yy,1784883600,['https://testnet-nfts.xchandles.com/v1/test10.png'],672c381a5a55e1ea4439357da59e56f2fe9cbfc7a3fdfcf610b1f3781674c00a,['https://testnet-nfts.xchandles.com/v1/test10.json'],7c328951d7c4098572691e94db465421bac2051c2ceb0ecb76f1c836dea66a20,['https://creativecommons.org/publicdomain/zero/1.0/legalcode.txt'],a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499
